UFID,x,y
100037612010B001163c24485d8b44ec7,126.9957867830,37.4987942309
100037612010B00119b82c3d7e70241eb,126.9952884065,37.4982078990
100037612010B00119e99f5d82d824b7a,126.9930666819,37.4979192948
100037612010B001197cabd9852e44b4b,126.9945758272,37.4977861209
100037612010B00116312ff56872b449a,126.9928515505,37.4977648467
100037612010B001139a3ca05f7564ae2,126.9938961508,37.4980321489
100037612010B0011961ee947dfb3464e,126.9954791061,37.4986582733
100037612010B0011cbc83606cea04f16,126.9932724926,37.4979512608
100037612010B0011a70bcb9ba33640eb,126.9915472285,37.4979115903
100037612010B0011e00e0fdd08824fe8,126.9908879758,37.4979362676
100037612010B00119e96aa468d104b43,126.9926915705,37.4979200293
100037612010B0011cbf3ea284bc04524,126.9911202088,37.4975337204
100037612010B00111afdca1bea3a4c56,126.9922609399,37.4979286033
100037612010B00111a736da48bc241a2,126.9981225477,37.4980223209
100037612010B001122a920fcf4684b84,126.9989255144,37.4985045866
100037612010B0011ce2ebe0dec0d4941,126.9985894192,37.4987479119
100037612010B0011ce25a00ec1624edc,126.9987218245,37.4976870219
100037612010B0011a5213ac2a1c94bce,126.9978207809,37.4992067947
100037612010B0011aabce3316b1444e4,126.9986463753,37.4985423703
100037612010B0011a5f3164e85344b64,126.9980059568,37.4962509353
100037612010B0011db7ee79a6844494b,126.9962633759,37.4973952259
100037612010B0011e4dcc300c9094232,126.9911444468,37.4979175635
100037612010B00111851e6d225f54e7a,126.9924213600,37.4978648763
100037612010B0011bf1e21c1545e4ca8,126.9965010247,37.4979976769
100037612010B00115cc8618b7db84202,126.9972040825,37.4993528132
100037612010B0011b3b8c73e14c84c69,126.9985037456,37.4977040297
100037612010B00111c88f0ed6f6742e8,126.9972297643,37.4991357298
100037612010B00113db2f17f04af4341,126.9983611225,37.4959743065
100037612010B001100f8e4eec93c415a,126.9985024628,37.4994408046
100037612010B0011ef6914e162134045,126.9982076506,37.4983721999
100037612010B00115733ade57d394d0b,126.9963270752,37.4980251658
100037612010B001188b9565c3669489a,126.9985619969,37.4979132859
100037612010B001102cee0011e864e6d,126.9989510866,37.4987277769
100037612010B00116cc83c850d3f41f3,126.9978614223,37.4958389472
100037612010B00112115a2d6891842a4,126.9974085989,37.4986460469
100037612010B00114a6864b74e9f44e3,126.9950097521,37.4983977104
100037612010B0011280957d7b95c4088,126.9965621033,37.4978079834
100037612010B00119b540fc2783b436b,126.9969365566,37.4987425188
100037612010B00118c5ad8fb3362477d,126.9958550365,37.4986341579
100037612010B0011152d5b02486644f7,126.9978496500,37.4954192282
100037612010B0011fabc529724784f28,126.9989286367,37.4983230429
100037612010B0011ce87f6fb30584153,126.9982334399,37.4989076136
100037612010B0011ce187a3da13a4a6c,126.9997256000,37.4976114499
100037612010B001171ca991c5d56440e,126.9981729523,37.4982471286
100037709001B0011ddc4ed4d5f3d4374,127.0019404028,37.4946781497
100037709001B0011c0b93a13e08f4ca6,127.0009991726,37.4948730053
100037709001B00113fb75faf389a4dd9,127.0020428347,37.4943232334
100037709001B0011b75101d5a0d14339,127.0015981427,37.4982152960
100037612010B001160cd92c9448a4ed9,126.9999619480,37.4941629064
100037612010B001151f2c811433c41aa,126.9996573819,37.4999786214
100037612010B0011dfb1a30584e74968,126.9993187742,37.4946740538
100037612010B001160f3dcbd002f4c31,126.9968448156,37.4982365983
100037709001B0011cf46d83abc084c4e,127.0010421924,37.4937700461
100037709001B0011dc23740d74474e6a,127.0008306979,37.4940514053
100037709001B00112377ec6025e94798,127.0003012882,37.4934725645
100037709001B00112ba51752919441db,127.0004133099,37.4933182351
100037709001B00115095e5b056494481,127.0002361394,37.4944496302
100037709001B0011f578577b60284c22,127.0002607759,37.4940515453
100037709001B0011242dc63d5eec4c27,127.0009280244,37.4947058828
100037709001B00118098e105c9af48f6,127.0010748502,37.4946966647
100037612010B00110327abaeac944b45,126.9995104796,37.4951702958
100037612010B00118c04a409cfc04bb3,126.9995121894,37.4941666549
100037612010B0011f84c8fccfbed4bec,126.9993817499,37.4941463644
100037612010B00118cf52cb1b3fb4978,126.9992463368,37.4941561112
100037612010B0011924f045f4c794d12,126.9960089009,37.4973958417
100037612010B0011302f4b08bea54a0a,126.9991750661,37.4943904722
100037612010B001101e1f145ad3642b4,126.9971042324,37.4960446241
100037612010B0011f3b5e0efd32545de,126.9959614371,37.4980425004
100037612010B001136a4cfdf03c147ab,126.9917379316,37.4976236769
100037612010B00111c5a76c45da849b0,126.9993998925,37.4946640496
100037612010B0011dab71b3012d04912,126.9974077768,37.4963679259
100037612010B001117dd9efa969b4cf2,126.9926842080,37.4977379146
